team,player_name,gsis_id,pos_abb,pos_rank
TB,Emeka Egbuka,00-0040129,WR,2
TB,Jalen McMillan,00-0039855,WR,3
TB,Ted Hurst,HUR541377,WR,4
TEN,Carnell Tate,TAT143045,WR,1
TEN,Wan'Dale Robinson,00-0038117,WR,2
TEN,Calvin Ridley,00-0034837,WR,3
TEN,Elic Ayomanor,00-0040170,WR,4
WAS,Terry McLaurin,00-0035659,WR,1
WAS,Luke McCaffrey,00-0039355,WR,2
WAS,Antonio Williams,WIL143106,WR,3
WAS,Treylon Burks,00-0037742,WR,4
